"Authors","Author full names","Author(s) ID","Title","Year","Source title","Volume","Issue","Art. No.","Page start","Page end","Page count","Cited by","DOI","Link","Affiliations","Authors with affiliations","Abstract","Author Keywords","Index Keywords","Correspondence Address","Language of Original Document","Abbreviated Source Title","Document Type","Publication Stage","Open Access","Source"
"Silvestri C.; Silvestri L.; Piccarozzi M.; Ruggieri A.","Silvestri, Cecilia (6701821261); Silvestri, Luca (57195584697); Piccarozzi, Michela (56996206000); Ruggieri, Alessandro (36922407600)","6701821261; 57195584697; 56996206000; 36922407600","TQM and sustainability: a study of the methods and CSFs of TQM for achieving sustainability","2024","Total Quality Management and Business Excellence","35","1-2","","226","272","46","5","10.1080/14783363.2023.2289938","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85180180282&doi=10.1080%2f14783363.2023.2289938&partnerID=40&md5=1ac7764703cd5105f815e11b80ad4828","Department of Economics, Engineering, Society, Business Organization, University of Tuscia, Viterbo, Italy; Department of Engineering, University of Rome ‘Niccolò Cusano’, Rome, Italy","Silvestri C., Department of Economics, Engineering, Society, Business Organization, University of Tuscia, Viterbo, Italy; Silvestri L., Department of Engineering, University of Rome ‘Niccolò Cusano’, Rome, Italy; Piccarozzi M., Department of Economics, Engineering, Society, Business Organization, University of Tuscia, Viterbo, Italy; Ruggieri A., Department of Economics, Engineering, Society, Business Organization, University of Tuscia, Viterbo, Italy","This study aims to investigate the existing link between Total Quality Management (TQM) and Sustainability, consistent with the Triple Bottom Line (TBL) approach. For this purpose, a Systematic Literature Review (SLR) was carried out, which resulted in a corpus of 139 scientific articles covering the period from 1996 to 2023. Two research questions were answered: (1) What are the main research methodologies adopted in literature to analyze the relationship between TQM and Sustainability? (2) Which are the mostly used CSFs of TQM for achieving Sustainability? Based on this analysis, a thorough explanation of why TQM can be considered the catalyst of Sustainability is presented. The results indicate how four CSFs of TQM, which are Human Resources Management ‘HRM’, ‘Process management’, ‘Customer Focus’ and ‘Continuous Improvement’, recur and intersect with each other in literature. Finally, from a managerial perspective, this research represents a significant contribution in establishing the importance of a TQM-oriented management approach to achieve Sustainability, providing insights and understanding to guide managers/decision-makers to enhance sustainability in quality improvement processes. © 2023 Informa UK Limited, trading as Taylor & Francis Group.","critical success factors; sustainability; systematic literature review; Total quality management; triple bottom line (TBL)","","C. Silvestri; Department of Economics, Engineering, Society, Business Organization, University of Tuscia, Viterbo, Italy; email: c.silvestri@unitus.it","English","Total Qual. Manage. Bus. Excellence","Review","Final","","Scopus"
"Han G.-R.; Lee J.-E.","Han, Ga-Rog (59091004900); Lee, Jae-Eun (57209322475)","59091004900; 57209322475","The Moderating Effect of ESG Level in the Relationship between Digital Transformation Capability and Financial Performance: Evidence from Foreign Subsidiaries of Korean Firms","2024","Sustainability (Switzerland) ","16","9","3764","","","","5","10.3390/su16093764","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85192543217&doi=10.3390%2fsu16093764&partnerID=40&md5=64313e3bba0e3d0494772a1d794b9c5c","K-Humanities Innovation Center, Andong National University, Andong, 36729, South Korea; Department of International Trade, Sunchon National University, Suncheon, 57922, South Korea","Han G.-R., K-Humanities Innovation Center, Andong National University, Andong, 36729, South Korea; Lee J.-E., Department of International Trade, Sunchon National University, Suncheon, 57922, South Korea","This study empirically analyzed the effect of digital transformation capability on the financial performance of foreign subsidiaries of Korean listed firms, focusing on the moderating effect of the ESG level. The results of an empirical analysis on data from 483 foreign subsidiaries of Korean listed firms collected through surveys from February to May 2021 are as follows. First, it was found that digital transformation capability had a positive effect on financial performance. Second, as a result of analyzing the moderating effect of the ESG level, it was found that the environmental (E) level and the social (S) level in ESG strengthened the positive relationship between digital transformation capability and financial performance. However, it was found that the level of governance (G) in ESG rather weakens the positive relationship between digital transformation capability and financial performance. The results of this study suggest that foreign subsidiaries need to actively build digital transformation capability in order to improve their financial performance. Since the results of this study suggest different moderating effects of ESG, practical implications can be suggested that foreign subsidiaries should consider the fact that different effects may occur for each ESG activity if they want to improve their financial performance through digital transformation capability. © 2024 by the authors.","digital transformation; ESG level; financial performance; foreign subsidiary; Korean firms","Korea; empirical analysis; firm size; governance approach; performance assessment; survey method; transformation","J.-E. Lee; Department of International Trade, Sunchon National University, Suncheon, 57922, South Korea; email: sky2u@scnu.ac.kr","English","Sustainability","Article","Final","All Open Access; Gold Open Access","Scopus"
"Secundo G.; Schena R.; Russo A.; Schiavone F.; Shams R.","Secundo, Giustina (8246738300); Schena, Rosamartina (57219552652); Russo, Angeloantonio (12647091800); Schiavone, Francesco (55359997500); Shams, Riad (36083052200)","8246738300; 57219552652; 12647091800; 55359997500; 36083052200","The impact of digital technologies on the achievement of the Sustainable Development Goals: evidence from the agri-food sector","2022","Total Quality Management and Business Excellence","","","","","","","26","10.1080/14783363.2022.2065981","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85129845694&doi=10.1080%2f14783363.2022.2065981&partnerID=40&md5=e7e6ec6086d8ffcec381a2ed26a0c779","Dipartimento di Management, Finanza e Tecnologia, LUM - Libera Università Mediterranea “Giuseppe Degennaro”, Casamassima (Bari), Italy; DISAQ, Università degli Studi di Napoli Parthenope, Napoli, Italy; Department of Collaborative Strategies Disruptive Environments, Paris School of Business, Paris, France; School of Business, University of South Pacific, Fiji; Newcastle Business School, Northumbria University, Newcastle, United Kingdom","Secundo G., Dipartimento di Management, Finanza e Tecnologia, LUM - Libera Università Mediterranea “Giuseppe Degennaro”, Casamassima (Bari), Italy; Schena R., Dipartimento di Management, Finanza e Tecnologia, LUM - Libera Università Mediterranea “Giuseppe Degennaro”, Casamassima (Bari), Italy; Russo A., Dipartimento di Management, Finanza e Tecnologia, LUM - Libera Università Mediterranea “Giuseppe Degennaro”, Casamassima (Bari), Italy; Schiavone F., DISAQ, Università degli Studi di Napoli Parthenope, Napoli, Italy, Department of Collaborative Strategies Disruptive Environments, Paris School of Business, Paris, France, School of Business, University of South Pacific, Fiji; Shams R., Newcastle Business School, Northumbria University, Newcastle, United Kingdom","The business world has suffered a great shock: the COVID 19 pandemic has changed the competitive model of companies. Nowadays, companies have to deal with the pressures of stakeholders who, also due to the pandemic, are increasingly attentive to the firm’s impacts on the environment and health. Thus, companies voluntarily undertake to provide information on their strategies in a way that better addresses concerns about digitization and sustainability. This paper aims to analyze the impact of digital technologies on the achievement of the Sustainable Development Goals (SDGs) of the 2030 Agenda. To this end, a cross-case analysis of companies active in the Italian agri-food sector was carried out. In more detail, a content analysis methodology has been used to analyze the published sustainability reports, focusing on the digital technologies used and identifying the SDGs already reached and/or reachable by the company. Digital technologies have been classified, and each technology has been associated with appropriate SDGs through a deductive approach. Findings demonstrate a clear link between digitalization the SDGs achievement. The disruption provoked by COVID-19 caused the introduction of a ‘new normal’ for the digital technologies that must be weighed considering social and environmental repercussions in the agri-food sector. © 2022 Informa UK Limited, trading as Taylor & Francis Group.","Agri-Food; Corporate Sustainability; COVID-19; Digital technologies; Digital transformation; Sustainable Development Goals (SDGs)","","F. Schiavone; DISAQ, Università degli Studi di Napoli Parthenope, Napoli, Italy; email: franz.schiavone@gmail.com","English","Total Qual. Manage. Bus. Excellence","Article","Article in press","","Scopus"
"Gong C.; Song H.; Chen D.; Day S.J.; Ignatius J.","Gong, Canran (57190170336); Song, Huaming (9734591900); Chen, Daqiang (34876257800); Day, Steven James (57195592193); Ignatius, Joshua (8346805200)","57190170336; 9734591900; 34876257800; 57195592193; 8346805200","Logistics sourcing of e-commerce firms considering promised delivery time and environmental sustainability","2024","European Journal of Operational Research","317","1","","60","75","15","11","10.1016/j.ejor.2024.02.026","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85187578199&doi=10.1016%2fj.ejor.2024.02.026&partnerID=40&md5=c4e716e50be2c8effa24c90918e0bcb3","School of Economics and Management, Nanjing University of Science & Technology, Nanjing, 210094, China; School of Management and E-Business, Zhejiang Gongshang University, Hangzhou, 310018, China; School of Management, Zhejiang University, Hangzhou, 310058, China; Aston Business School, Aston University, Birmingham, B4 7ET, United Kingdom","Gong C., School of Economics and Management, Nanjing University of Science & Technology, Nanjing, 210094, China; Song H., School of Economics and Management, Nanjing University of Science & Technology, Nanjing, 210094, China; Chen D., School of Management and E-Business, Zhejiang Gongshang University, Hangzhou, 310018, China; Day S.J., School of Management, Zhejiang University, Hangzhou, 310058, China; Ignatius J., Aston Business School, Aston University, Birmingham, B4 7ET, United Kingdom","Online consumers prioritise swift and dependable deliveries but are also concerned about the environmental repercussions of e-commerce, such as carbon emissions and packaging waste. E-commerce firms, therefore, grapple with balancing short promised delivery times (PDT) and environmental sustainability in a competitive landscape. Through a game-theoretic lens, this study delves into the logistics choices of two rival e-commerce firms. These firms can either manage their own logistics or outsource to third-party logistics providers (TPLs) that have a green edge due to advanced eco-friendly technologies. Our findings reveal that if the e-commerce firms compete on demand, their logistics strategies depend on the TPLs’ levels of green technology readiness. Conversely, intense PDT competition can diminish the TPLs’ benefits, prompting e-commerce firms to handle logistics in-house. Regarding environmental sustainability, the outcomes depend on whether demand or PDT competition drives the firms’ choices. Notably, if both firms compete on PDT, the most sustainable outcome remains elusive. Our conclusions remain consistent even when tested further by model extensions. © 2024 Elsevier B.V.","E-commerce; Environmental sustainability; Logistics service outsourcing; Promised delivery time (PDT)","Competition; Game theory; Outsourcing; Sustainable development; Carbon emissions; Delivery time; E- commerces; Environmental sustainability; Logistic service outsourcing; Logistics services; Online consumers; Promised delivery time; Service outsourcing; Third party logistics providers; Electronic commerce","D. Chen; School of Management and E-Business, Zhejiang Gongshang University, Hangzhou, 310018, China; email: chendaqiang@zjgsu.edu.cn","English","Eur J Oper Res","Article","Final","","Scopus"
"Jasuja D.; Prosad J.M.; Nautiyal N.","Jasuja, Deepmala (57223136381); Prosad, Jaya Mamta (57105582000); Nautiyal, Neeraj (57201257359)","57223136381; 57105582000; 57201257359","Understanding socially responsible investing - a scientific mapping and bibliometric analysis","2022","International Journal of Sustainable Economy","14","4","","349","379","30","4","10.1504/ijse.2022.125981","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85140825996&doi=10.1504%2fijse.2022.125981&partnerID=40&md5=9d3a5fa487bc936f03fe9e757e090ba9","Amity College of Commerce and Finance, Amity University, Noida, India; School of Business, Sohar University, Sohar, Oman","Jasuja D., Amity College of Commerce and Finance, Amity University, Noida, India; Prosad J.M., Amity College of Commerce and Finance, Amity University, Noida, India; Nautiyal N., School of Business, Sohar University, Sohar, Oman","Research on socially responsible investing (SRI) has gained momentum in recent years. Pursuant to the gap of comprehensive review, the current study aims to identify the main areas and the current dynamics of the SRI research and suggest future research directions. Using a blend of bibliometric methods on visualisation of similarities (VOS) viewer and Biblioshiny on a sample of 1, 073 articles from the Scopus database from 1985, we find the most influential articles, authors, sources, and publications within the network. Current themes were explored and impediments to growth in literature were identified. SRI research revolves around performance evaluation of socially responsible investment avenues, green finance, socially responsible investment implications, triangulating corporate social responsibility (CSR), SRI and corporate performance, and environment and sustainability. Future research directions concluded the bibliometric review. This study would be notable work for the readers to gain a quick understanding of recent trends and knowledge gaps in the SRI area. Managers can apply sustainability management practices, CSR investment, and environment, social, and governance (ESG) investment with the present study as the motivation principles. Copyright © 2022 Inderscience Enterprises Ltd.","bibliometric analysis; citation network; ESG investing; scientific mapping; Scopus; socially responsible investing; SRI; systematic literature review","","D. Jasuja; Amity College of Commerce and Finance, Amity University, Noida, India; email: deepmalajasuja13@gmail.com","English","Int.  J.  Sustain. Economy","Article","Final","","Scopus"
"Clément A.; Robinot É.; Trespeuch L.","Clément, Alexandre (57949072300); Robinot, Élisabeth (35435955500); Trespeuch, Léo (57202159141)","57949072300; 35435955500; 57202159141","The use of ESG scores in academic literature: a systematic literature review","2025","Journal of Enterprising Communities","19","1","","92","110","18","50","10.1108/JEC-10-2022-0147","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85149639736&doi=10.1108%2fJEC-10-2022-0147&partnerID=40&md5=cc4dd17c8a084bdef7e36e34eb2f65bf","Department of Marketing, University of Quebec in Montreal, Montreal, Canada; Department of Marketing, University of Quebec in Trois-Riviere, Trois-Rivieres, Canada","Clément A., Department of Marketing, University of Quebec in Montreal, Montreal, Canada; Robinot É., Department of Marketing, University of Quebec in Montreal, Montreal, Canada; Trespeuch L., Department of Marketing, University of Quebec in Trois-Riviere, Trois-Rivieres, Canada","Purpose: Environmental, social and governance (ESG) scores are becoming increasingly relevant in academic literature and the corporate world. This is partly because the themes covered by ESG scores are intended to resolve multiple major social and environmental issues. However, there is little consensus among academics about the definition of ESG scores and their measures. Many scholars have used ESG scores to represent various issues. The purpose of this study is to gather all definitions that were used by scholar when using ESG scores in their research. Design/methodology/approach: This systematic literature review aims to identify how ESG scores are presented in the academic literature. A total of 4,145 articles were identified, of which 342 articles from influential peer-reviewed journals were retained. Findings: In the articles, five different thematic definitions emerged in terms of how scholars have used ESG scores in their research: sustainability, corporate social responsibility, disclosure, finance and the analysis of ESG scores. Although some definitions are consistent with the methodologies of the agencies that produce ESG scores, others raise further questions. Caution is required when using ESG scores as a metric. They represent financial adjusted risk-return for some and are used to express business sustainability for others. Research limitations/implications: Only top-ranked journals were analyzed. In addition, only the key terms “ESG Score” and “ESG Scores” were used to gather all research papers. Practical implications: Researchers could improve the accuracy of their results by developing specific methodologies that are closely related to the issues intended to be measured. The underlying variables composing the ESG scores could be used instead of the final score for more accurate environmental or social issues measurements. Originality/value: This research shows that scholars use ESG scores to represent multiple issues that are not always captured by ESG scores’ official methodologies. ESG scores can express the overall performance of environmental and social issues, but they cannot be used to track specific underlying issues. © 2023, Emerald Publishing Limited.","Corporate social responsibility; ESG; ESG definitions; ESG scores; Sustainability","","A. Clément; Department of Marketing, University of Quebec in Montreal, Montreal, Canada; email: clement.alexandre.4@courrier.uqam.ca","English","J. Enterprising Communities","Review","Final","","Scopus"
"Kim N.","Kim, Nam (59221889400)","59221889400","Really Want a Whole? Or Take It Apart? Evidence of ESG disclosure heterogeneity on Chinese Listed Firm","2024","Global Business and Finance Review","29","5","","112","132","20","1","10.17549/gbfr.2024.29.5.112","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85198719924&doi=10.17549%2fgbfr.2024.29.5.112&partnerID=40&md5=aca3b71bded69e65e46b539198cdd102","Korea University Business School, Seoul, South Korea","Kim N., Korea University Business School, Seoul, South Korea","Purpose: We examined how ESG disclosure and its sub-dimensions impact holding period returns, profitability, and company value. Design/methodology/approach: Utilizing Bloomberg panel data, the research investigates the effects of ESG disclosures and their sub-dimensions on financial metrics within the Chinese stock market. Findings: Results reveal a multifaceted impact of ESG disclosures: environmental aspects positively affect returns, governance has a negative impact, and social factors show no significant effect. Overall ESG disclosures enhance Tobin's q, particularly driven by environmental factors. The study also identifies industry specific ESG effects and confirms ESG disclosure as a precursor to firm value, addressing endogeneity concerns. Research limitations/implications: The study offers vital insights for investors, guiding them on the differential impacts of ESG components on returns in China. It informs policymakers on crafting nuanced ESG disclosure regulations and encourages researchers to further explore ESG effects across industries and markets. Originality/value: This research uniquely dissects the disparate impacts of ESG dimensions on firm performance, emphasizing environmental disclosures and industry heterogeneity, especially during the COVID-19 pandemic. It advances the literature by detailing how various ESG facets affect firm performance, aiding stakeholders in aligning sustainability strategies with market expectations. © 2024 People and Global Business Association, and The Author(s).","Chinese listed firm; Emerging market; Environmental; ESG disclosure; Governance; Social","","N. Kim; Korea University Business School, Seoul, South Korea; email: sweetlanders@korea.ac.kr","English","Glob. Bus. Finance Rev.","Article","Final","All Open Access; Gold Open Access","Scopus"
"Fatima T.; Elbanna S.","Fatima, Tahniyath (57214654289); Elbanna, Said (16052279900)","57214654289; 16052279900","A tertiary review of corporate social responsibility (CSR) research: lessons for the Arab region","2022","Management and Sustainability:","1","1","","38","49","11","8","10.1108/MSAR-01-2022-0007","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85152358432&doi=10.1108%2fMSAR-01-2022-0007&partnerID=40&md5=29c8222a74aff7ecf0608da37d718080","Qatar University, Doha, Qatar","Fatima T., Qatar University, Doha, Qatar; Elbanna S., Qatar University, Doha, Qatar","Purpose: Although corporate social responsibility (CSR) literature has been under research since its advent in the 1950s, scholars have only recently begun to examine the overly neglected Arab region along with other developing countries. As this region harbors more scholarly interest through its rising global impact and engagement in CSR, the authors seek to learn from the extant CSR literature in the West. Design/methodology/approach: The authors conduct a tertiary review of 97 CSR review studies and propose five broad future research topics that scholars can examine and learn from, in their examination of CSR in general and particularly in the Arab region. Findings: The knowledge gaps proposed for future scholarly research include (1) surveying CSR measurement tools, (2) conducting multi-level studies on CSR, (3) studying the interaction effects in CSR-performance relationship, (4) exploring CSR in service industries and (5) examining the implementation of CSR. Originality/value: In reviewing the general CSR review literature, the authors provide a tertiary review on CSR that is one of the first of its kind for the topic under study. Further, the proposed future research agenda is a step forward towards advancing the less-examined CSR research in the Arab region. © 2022, Emerald Publishing Limited.","Arab region; Corporate social responsibility; CSR; MENA; Sustainability; Tertiary review","","S. Elbanna; Qatar University, Doha, Qatar; email: selbanna@qu.edu.qa","English","Manag. Sustain.","Article","Final","All Open Access; Bronze Open Access","Scopus"
"Birindelli G.; Palea V.","Birindelli, Giuliana (55657173500); Palea, Vera (55866893900)","55657173500; 55866893900","To green or not to green? How CSR mechanisms at the governance level affect the likelihood of banks pursuing green product strategies","2023","Corporate Governance (Bingley)","23","1","","219","242","23","7","10.1108/CG-09-2021-0349","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85136517141&doi=10.1108%2fCG-09-2021-0349&partnerID=40&md5=6eaa555380f99e26622791ea352f3f57","Department of Management and Business Administration, Gabriele d’Annunzio University of Chieti and Pescara, Pescara, Italy; Department of Economics and Statistics “Cognetti de Martiis”, University of Torino, Torino, Italy","Birindelli G., Department of Management and Business Administration, Gabriele d’Annunzio University of Chieti and Pescara, Pescara, Italy; Palea V., Department of Economics and Statistics “Cognetti de Martiis”, University of Torino, Torino, Italy","Purpose: This study aims to investigate the relationship between banks’ corporate social responsibility (CSR) mechanisms at the governance level and their likelihood of pursuing green product strategies. It also examines how CSR characteristics and green product strategies have evolved across regions and time. Design/methodology/approach: Using a sample of listed banks from different economic areas over the period 2010–2019, the authors examine how CSR mechanisms at the governance level and green product strategies, which they categorize through principal component analysis, have changed over time and across regions. The authors then conducted panel regression to identify which CSR characteristics affect the likelihood that banks implement green product strategies. Findings: Results show that CSR mechanisms related to bank transparency and commitment to the community, such as sustainability reporting and United Nations Global Compact adherence, are substantive in affecting the likelihood of banks pursuing green product strategies. In contrast, mechanisms related to internal organization, such as the presence of a CSR Committee and an environmental management team, tend to play more a symbolic role. Findings also support a reconsideration of environmental, social and governance-related compensation schemes, which appear to decrease the likelihood that banks engage in some forms of green financing. The likelihood of banks pursuing green product strategies varies across regions and has increased after the Paris Agreement. Research limitations/implications: The findings are useful in guiding regulators, supervisory authorities and policymakers in defining policies that can create conditions for banks to develop green products and, hence, encourage the sustainability behaviors of their clients. Empirical evidence reveals that some corporate governance mechanisms and green product strategies correlate positively, institutional factors matter and public policies can play a role in strengthening such a correlation. However, results are limited to specific geographical areas and listed banks. Originality/value: This study contributes to the institutional literature by showing that some corporate governance mechanisms are substantive in increasing the likelihood of banks pursuing green product strategies, while others are more symbolic. It also extends the literature by analyzing how banks belonging to different geographical areas have responded, over time, to sustainability objectives. © 2020, Emerald Publishing Limited.","Corporate governance; Corporate social responsibility; Green assets under management; Green loans; Sustainable finance","","V. Palea; Department of Economics and Statistics “Cognetti de Martiis”, University of Torino, Torino, Italy; email: vera.palea@unito.it","English","Corp. Gov.","Article","Final","","Scopus"
"Liu S.; Cai H.; Cai X.","Liu, Siqin (58502065800); Cai, Hanquan (58502065900); Cai, Xiaotong (57223318529)","58502065800; 58502065900; 57223318529","The paradox of digitalization, competitiveness, and sustainability: A firm-level study of natural resources exploitation in post Covid-19 for China","2023","Resources Policy","85","","103773","","","","9","10.1016/j.resourpol.2023.103773","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85165541960&doi=10.1016%2fj.resourpol.2023.103773&partnerID=40&md5=7dbe7e6b2d1addf518478bfbfe06460d","School of Business, Law and Entrepreneurship, Swinburne University of Technology, Kuching, Kuching, 93400, Malaysia; Faculty of Business and Economics, Universiti Malaya, Kuala Lumpur, Kuala Lumpur, 50603, Malaysia; Guangdong University of Finance, Guangzhou, 510510, China","Liu S., School of Business, Law and Entrepreneurship, Swinburne University of Technology, Kuching, Kuching, 93400, Malaysia; Cai H., Faculty of Business and Economics, Universiti Malaya, Kuala Lumpur, Kuala Lumpur, 50603, Malaysia; Cai X., Guangdong University of Finance, Guangzhou, 510510, China","The Oil and Gas (O&G) sector plays a crucial role in the world economy, and its operation has many social and environmental impacts. The influx of digital technology has transmuted the business landscape, including this sector. The impact of technology on this sector has been more prominent in the post-COVID world, where firms are looking forward to novel methods for attaining sustainability and competitiveness. This study explores the linkage between digitalization, sustainability and competitiveness using the firm level data from Oil and Gas sector of People's Republic of China (PRC). Likewise, the study aims to examine digitalization's impact on promoting sustainability. We employ partial least square structural equation modeling to test the hypothesized relationship. Our empirical findings confirm a significant and positive impact of digitalization on the sustainability and competitiveness of the firms. Likewise, results confirm the mediating role of sustainability in the association between digitalization and sustainability. These findings reveal that digitalization can be instrumental in attaining sustainability-led competitiveness in China's Oil and Gas sector. The in-depth analysis reveals that digitalization by improving the processes' visibility and higher-level integration contributes to the sustainability of the firms. This study also provides useful insights regarding adopting digital technologies in China's oil and gas sector. It has recommendations for the managers, policymakers, and regulators to promote sustainability in the post-Covid world. © 2023 Elsevier Ltd","China; Competitiveness; Digitalization; Oil and gas sector; Sustainability","China; Competition; Environmental impact; Gas industry; Gases; China; Competitiveness; Digital technologies; Digitalization; Novel methods; Oil and Gas Sector; Partial least-squares; Peoples Republic of China; Social and environmental impact; World economy; competitiveness; COVID-19; digital mapping; environmental impact; natural resource; resource development; sustainability; Sustainable development","X. Cai; The Paradox of Digitalization, Competitiveness, and Sustainability, China; email: xiaotongcai@hotmail.com","English","Resour. Policy","Article","Final","","Scopus"
"Siyal A.W.; Gerbens-Leenes P.W.; Vaca-Jiménez S.D.","Siyal, A.W. (57220922632); Gerbens-Leenes, P.W. (57212114208); Vaca-Jiménez, S.D. (57200965839)","57220922632; 57212114208; 57200965839","Freshwater competition among agricultural, industrial, and municipal sectors in a water-scarce country. Lessons of Pakistan's fifty-year development of freshwater consumption for other water-scarce countries","2023","Water Resources and Industry","29","","100206","","","","2","10.1016/j.wri.2023.100206","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85150051936&doi=10.1016%2fj.wri.2023.100206&partnerID=40&md5=3d818f7182b4737dd5f92d92812aabee","Integrated Research on Energy, Environment and Society (IREES), University of Groningen, Groningen, Netherlands; Pakistan Agricultural Research Council (PARC), Islamabad, Pakistan; Departamento de Ingeniería Mecánica, Escuela Politécnica Nacional, Ladrón de Guevara E11·253, 01-17-2759, Quito, Ecuador","Siyal A.W., Integrated Research on Energy, Environment and Society (IREES), University of Groningen, Groningen, Netherlands, Pakistan Agricultural Research Council (PARC), Islamabad, Pakistan; Gerbens-Leenes P.W., Integrated Research on Energy, Environment and Society (IREES), University of Groningen, Groningen, Netherlands; Vaca-Jiménez S.D., Integrated Research on Energy, Environment and Society (IREES), University of Groningen, Groningen, Netherlands, Departamento de Ingeniería Mecánica, Escuela Politécnica Nacional, Ladrón de Guevara E11·253, 01-17-2759, Quito, Ecuador","Agriculture, industry and municipal water supply compete over scarce freshwater. This study calculated sectoral blue water footprints (WFs) in water scarce Pakistan between 1971 and 2020. Agriculture dominates blue WFs, industry contributed 0.5–1.4%, municipal WFs 0.5–1.7%. Manufacture (cloth and yarn) and electricity production (hydropower) dominated blue industrial WFs. Agricultural crop and livestock production tripled using the same amount of blue water, but industrial and municipal WFs increased with increasing production/population, the blue industrial WF by a factor of 3.3, municipal WFs by a factor of 3.6. Pakistan's water scarcity depends on environmental flow requirement (EFR) definitions. Volumetric government definitions generate low water scarcity allocating almost all water to society. Higher EFR's generate moderate to severe scarcity. Efficient agriculture leaves more water for industry and municipal supply, increasing crop output and decreasing sectoral competition. Policy might support improved water infrastructure. Pakistan's lessons are relevant for other water scarce countries. © 2023 The Authors","Agriculture; Blue water footprint; Competition over water; Industrial water consumption; Municipal water consumption; Pakistan; Water use efficiency","Pakistan; Crops; Water supply; Blue water; Blue water footprint; Competition over water; Industrial water; Industrial water consumption; Municipal water; Municipal water consumption; Over water; Pakistan; Water consumption; Water footprint; Water use efficiency; economic aspects of agriculture; electricity; electricity generation; freshwater; livestock farming; water supply; water use; water use efficiency; Competition","A.W. Siyal; Integrated Research on Energy, Environment and Society (IREES), University of Groningen, Groningen, Netherlands; email: a.w.siyal@rug.nl","English","Water Resour. Ind.","Article","Final","All Open Access; Gold Open Access; Green Open Access","Scopus"
"Zakrzewska M.; Piwowar-Sulej K.; Jarosz S.; Sagan A.; Sołtysik M.","Zakrzewska, Małgorzata (57411159000); Piwowar-Sulej, Katarzyna (56835774100); Jarosz, Szymon (57216945655); Sagan, Adam (26533476900); Sołtysik, Mariusz (57216767852)","57411159000; 56835774100; 57216945655; 26533476900; 57216767852","The linkage between Agile project management and sustainable development: A theoretical and empirical view","2022","Sustainable Development","30","5","","855","869","14","11","10.1002/sd.2285","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85123914580&doi=10.1002%2fsd.2285&partnerID=40&md5=0a2b32a6c1b43e9e08589de775f3af36","Cracow University of Economics, Kraków, Poland; Wroclaw University of Economics and Business, Wrocław, Poland","Zakrzewska M., Cracow University of Economics, Kraków, Poland; Piwowar-Sulej K., Wroclaw University of Economics and Business, Wrocław, Poland; Jarosz S., Cracow University of Economics, Kraków, Poland; Sagan A., Cracow University of Economics, Kraków, Poland; Sołtysik M., Cracow University of Economics, Kraków, Poland","The issue of project management methodologies has never be undertaken by academics in the context of their contribution to sustainability. There is the lack of understanding which Agile Project Management (APM) results and Agile value creation methods are in line with the assumptions of sustainability. The article fills this gap and presents the linkage between Agile project management and sustainability. The article presents both theoretical considerations as well as the results of empirical research that explains the relationship between APM and sustainability. As a result of multiple surveys, Guttman scales were developed, which showed the degree of Agile aspects' influence on sustainability, taking into account both the results of Agile implementation and the methods of value creation. Research revealed that improving the timeliness of deliveries, increase in productivity and improving the atmosphere in the organization as APM result is significant for sustainability. Value creation methods that most correspond with sustainability are design thinking and Agile rituals. The above provide certain practical and theoretical implications. © 2022 ERP Environment and John Wiley & Sons Ltd.","Agile; organizational sustainable development; project management; sustainability","empirical analysis; organizational framework; project management; sustainable development; theoretical study","M. Sołtysik; Cracow University of Economics, Kraków, Poland; email: soltysik@uek.krakow.pl","English","Sustainable Dev.","Article","Final","","Scopus"
